생성시간, 예측시간, 지점코드, 지점이름, 지수, 지수단계, 수정사유
2021-07-13,2021-07-13 18:00,PT_0007,제2항로,3,LV2,00
2021-07-13,2021-07-14 00:00,PT_0007,제2항로,3,LV2,00
2021-07-13,2021-07-14 06:00,PT_0007,제2항로,3,LV2,00
2021-07-13,2021-07-14 12:00,PT_0007,제2항로,3,LV2,00
2021-07-13,2021-07-14 18:00,PT_0007,제2항로,3,LV2,00
2021-07-13,2021-07-15 00:00,PT_0007,제2항로,3,LV2,00
2021-07-13,2021-07-15 06:00,PT_0007,제2항로,3,LV2,00
2021-07-13,2021-07-15 12:00,PT_0007,제2항로,3,LV2,00
2021-07-13,2021-07-15 18:00,PT_0007,제2항로,3,LV2,00
2021-07-13,2021-07-13 00:00,PT_0008,제3항로,4,LV1,00
2021-07-13,2021-07-13 06:00,PT_0008,제3항로,4,LV1,00
2021-07-13,2021-07-13 12:00,PT_0008,제3항로,4,LV1,00
2021-07-13,2021-07-13 18:00,PT_0008,제3항로,4,LV1,00
2021-07-13,2021-07-14 00:00,PT_0008,제3항로,4,LV1,00
2021-07-13,2021-07-14 06:00,PT_0008,제3항로,4,LV1,00
2021-07-13,2021-07-14 12:00,PT_0008,제3항로,4,LV1,00
2021-07-13,2021-07-14 18:00,PT_0008,제3항로,4,LV1,00
2021-07-13,2021-07-15 00:00,PT_0008,제3항로,4,LV1,00
2021-07-13,2021-07-15 06:00,PT_0008,제3항로,4,LV1,00
2021-07-13,2021-07-15 12:00,PT_0008,제3항로,4,LV1,00
2021-07-13,2021-07-15 18:00,PT_0008,제3항로,4,LV1,00
2021-07-13,2021-07-13 00:00,PT_0009,입항로,4,LV1,00
2021-07-13,2021-07-13 06:00,PT_0009,입항로,4,LV1,00
2021-07-13,2021-07-13 12:00,PT_0009,입항로,4,LV1,00
2021-07-13,2021-07-13 18:00,PT_0009,입항로,4,LV1,00
2021-07-13,2021-07-14 00:00,PT_0009,입항로,4,LV1,00
2021-07-13,2021-07-14 06:00,PT_0009,입항로,4,LV1,00
2021-07-13,2021-07-14 12:00,PT_0009,입항로,4,LV1,00
2021-07-13,2021-07-14 18:00,PT_0009,입항로,4,LV1,00
2021-07-13,2021-07-15 00:00,PT_0009,입항로,4,LV1,00
2021-07-13,2021-07-15 06:00,PT_0009,입항로,4,LV1,00
2021-07-13,2021-07-15 12:00,PT_0009,입항로,4,LV1,00
2021-07-13,2021-07-15 18:00,PT_0009,입항로,4,LV1,00
2021-07-13,2021-07-13 00:00,PT_0010,출항로,4,LV1,00
2021-07-13,2021-07-13 06:00,PT_0010,출항로,4,LV1,00
2021-07-13,2021-07-13 12:00,PT_0010,출항로,4,LV1,00
2021-07-13,2021-07-13 18:00,PT_0010,출항로,4,LV1,00
2021-07-13,2021-07-14 00:00,PT_0010,출항로,4,LV1,00
2021-07-13,2021-07-14 06:00,PT_0010,출항로,4,LV1,00
2021-07-13,2021-07-14 12:00,PT_0010,출항로,4,LV1,00
2021-07-13,2021-07-14 18:00,PT_0010,출항로,4,LV1,00
2021-07-13,2021-07-15 00:00,PT_0010,출항로,4,LV1,00
2021-07-13,2021-07-15 06:00,PT_0010,출항로,4,LV1,00
2021-07-13,2021-07-15 12:00,PT_0010,출항로,4,LV1,00
2021-07-13,2021-07-15 18:00,PT_0010,출항로,4,LV1,00
2021-07-13,2021-07-13 00:00,PT_0011,여객선항로,4,LV1,00
2021-07-13,2021-07-13 06:00,PT_0011,여객선항로,4,LV1,00
2021-07-13,2021-07-13 12:00,PT_0011,여객선항로,4,LV1,00
2021-07-13,2021-07-13 18:00,PT_0011,여객선항로,4,LV1,00
2021-07-13,2021-07-14 00:00,PT_0011,여객선항로,4,LV1,00
2021-07-13,2021-07-14 06:00,PT_0011,여객선항로,4,LV1,00
2021-07-13,2021-07-14 12:00,PT_0011,여객선항로,4,LV1,00
2021-07-13,2021-07-14 18:00,PT_0011,여객선항로,4,LV1,00
2021-07-13,2021-07-15 00:00,PT_0011,여객선항로,4,LV1,00
2021-07-13,2021-07-15 06:00,PT_0011,여객선항로,4,LV1,00
2021-07-13,2021-07-15 12:00,PT_0011,여객선항로,4,LV1,00
2021-07-13,2021-07-15 18:00,PT_0011,여객선항로,4,LV1,00
2021-07-13,2021-07-13 00:00,PT_0012,항계안 항로,4,LV1,00
2021-07-13,2021-07-13 06:00,PT_0012,항계안 항로,4,LV1,00
2021-07-13,2021-07-13 12:00,PT_0012,항계안 항로,4,LV1,00
2021-07-13,2021-07-13 18:00,PT_0012,항계안 항로,4,LV1,00
2021-07-13,2021-07-14 00:00,PT_0012,항계안 항로,4,LV1,00
2021-07-13,2021-07-14 06:00,PT_0012,항계안 항로,4,LV1,00
2021-07-13,2021-07-14 12:00,PT_0012,항계안 항로,4,LV1,00
2021-07-13,2021-07-14 18:00,PT_0012,항계안 항로,4,LV1,00
2021-07-13,2021-07-15 00:00,PT_0012,항계안 항로,4,LV1,00
2021-07-13,2021-07-15 06:00,PT_0012,항계안 항로,4,LV1,00
2021-07-13,2021-07-15 12:00,PT_0012,항계안 항로,4,LV1,00
2021-07-13,2021-07-15 18:00,PT_0012,항계안 항로,4,LV1,00
2021-07-13,2021-07-13 00:00,PT_0013,항계밖 항로,4,LV1,00
2021-07-13,2021-07-13 06:00,PT_0013,항계밖 항로,4,LV1,00
2021-07-13,2021-07-13 12:00,PT_0013,항계밖 항로,4,LV1,00
2021-07-13,2021-07-13 18:00,PT_0013,항계밖 항로,4,LV1,00
2021-07-13,2021-07-14 00:00,PT_0013,항계밖 항로,4,LV1,00
2021-07-13,2021-07-14 06:00,PT_0013,항계밖 항로,4,LV1,00
2021-07-13,2021-07-14 12:00,PT_0013,항계밖 항로,4,LV1,00
2021-07-13,2021-07-14 18:00,PT_0013,항계밖 항로,4,LV1,00
2021-07-13,2021-07-15 00:00,PT_0013,항계밖 항로,4,LV1,00
2021-07-13,2021-07-15 06:00,PT_0013,항계밖 항로,4,LV1,00
2021-07-13,2021-07-15 12:00,PT_0013,항계밖 항로,4,LV1,00
2021-07-13,2021-07-15 18:00,PT_0013,항계밖 항로,4,LV1,00
