생성시간, 예측시간, 지점코드, 지점이름, 지수, 지수단계, 수정사유
2021-09-02,2021-09-03 18:00,PT_0005,주의해역,4,LV1,00
2021-09-02,2021-09-04 00:00,PT_0005,주의해역,4,LV1,00
2021-09-02,2021-09-04 06:00,PT_0005,주의해역,4,LV1,00
2021-09-02,2021-09-04 12:00,PT_0005,주의해역,3,LV2,00
2021-09-02,2021-09-04 18:00,PT_0005,주의해역,3,LV2,00
2021-09-02,2021-09-02 00:00,PT_0006,제1항로,4,LV1,00
2021-09-02,2021-09-02 06:00,PT_0006,제1항로,4,LV1,00
2021-09-02,2021-09-02 12:00,PT_0006,제1항로,4,LV1,00
2021-09-02,2021-09-02 18:00,PT_0006,제1항로,4,LV1,00
2021-09-02,2021-09-03 00:00,PT_0006,제1항로,4,LV1,00
2021-09-02,2021-09-03 06:00,PT_0006,제1항로,4,LV1,00
2021-09-02,2021-09-03 12:00,PT_0006,제1항로,4,LV1,00
2021-09-02,2021-09-03 18:00,PT_0006,제1항로,4,LV1,00
2021-09-02,2021-09-04 00:00,PT_0006,제1항로,4,LV1,00
2021-09-02,2021-09-04 06:00,PT_0006,제1항로,4,LV1,00
2021-09-02,2021-09-04 12:00,PT_0006,제1항로,4,LV1,00
2021-09-02,2021-09-04 18:00,PT_0006,제1항로,4,LV1,00
2021-09-02,2021-09-02 00:00,PT_0007,제2항로,3,LV2,00
2021-09-02,2021-09-02 06:00,PT_0007,제2항로,3,LV2,00
2021-09-02,2021-09-02 12:00,PT_0007,제2항로,3,LV2,00
2021-09-02,2021-09-02 18:00,PT_0007,제2항로,3,LV2,00
2021-09-02,2021-09-03 00:00,PT_0007,제2항로,3,LV2,00
2021-09-02,2021-09-03 06:00,PT_0007,제2항로,3,LV2,00
2021-09-02,2021-09-03 12:00,PT_0007,제2항로,3,LV2,00
2021-09-02,2021-09-03 18:00,PT_0007,제2항로,3,LV2,00
2021-09-02,2021-09-04 00:00,PT_0007,제2항로,3,LV2,00
2021-09-02,2021-09-04 06:00,PT_0007,제2항로,3,LV2,00
2021-09-02,2021-09-04 12:00,PT_0007,제2항로,3,LV2,00
2021-09-02,2021-09-04 18:00,PT_0007,제2항로,3,LV2,00
2021-09-02,2021-09-02 00:00,PT_0008,제3항로,4,LV1,00
2021-09-02,2021-09-02 06:00,PT_0008,제3항로,4,LV1,00
2021-09-02,2021-09-02 12:00,PT_0008,제3항로,4,LV1,00
2021-09-02,2021-09-02 18:00,PT_0008,제3항로,4,LV1,00
2021-09-02,2021-09-03 00:00,PT_0008,제3항로,4,LV1,00
2021-09-02,2021-09-03 06:00,PT_0008,제3항로,4,LV1,00
2021-09-02,2021-09-03 12:00,PT_0008,제3항로,4,LV1,00
2021-09-02,2021-09-03 18:00,PT_0008,제3항로,4,LV1,00
2021-09-02,2021-09-04 00:00,PT_0008,제3항로,4,LV1,00
2021-09-02,2021-09-04 06:00,PT_0008,제3항로,4,LV1,00
2021-09-02,2021-09-04 12:00,PT_0008,제3항로,4,LV1,00
2021-09-02,2021-09-04 18:00,PT_0008,제3항로,4,LV1,00
2021-09-02,2021-09-02 00:00,PT_0009,입항로,4,LV1,00
2021-09-02,2021-09-02 06:00,PT_0009,입항로,4,LV1,00
2021-09-02,2021-09-02 12:00,PT_0009,입항로,4,LV1,00
2021-09-02,2021-09-02 18:00,PT_0009,입항로,4,LV1,00
2021-09-02,2021-09-03 00:00,PT_0009,입항로,4,LV1,00
2021-09-02,2021-09-03 06:00,PT_0009,입항로,4,LV1,00
2021-09-02,2021-09-03 12:00,PT_0009,입항로,4,LV1,00
2021-09-02,2021-09-03 18:00,PT_0009,입항로,4,LV1,00
2021-09-02,2021-09-04 00:00,PT_0009,입항로,4,LV1,00
2021-09-02,2021-09-04 06:00,PT_0009,입항로,4,LV1,00
2021-09-02,2021-09-04 12:00,PT_0009,입항로,4,LV1,00
2021-09-02,2021-09-04 18:00,PT_0009,입항로,4,LV1,00
2021-09-02,2021-09-02 00:00,PT_0010,출항로,4,LV1,00
2021-09-02,2021-09-02 06:00,PT_0010,출항로,4,LV1,00
2021-09-02,2021-09-02 12:00,PT_0010,출항로,4,LV1,00
2021-09-02,2021-09-02 18:00,PT_0010,출항로,4,LV1,00
2021-09-02,2021-09-03 00:00,PT_0010,출항로,4,LV1,00
2021-09-02,2021-09-03 06:00,PT_0010,출항로,4,LV1,00
2021-09-02,2021-09-03 12:00,PT_0010,출항로,4,LV1,00
2021-09-02,2021-09-03 18:00,PT_0010,출항로,4,LV1,00
2021-09-02,2021-09-04 00:00,PT_0010,출항로,4,LV1,00
2021-09-02,2021-09-04 06:00,PT_0010,출항로,4,LV1,00
2021-09-02,2021-09-04 12:00,PT_0010,출항로,4,LV1,00
2021-09-02,2021-09-04 18:00,PT_0010,출항로,4,LV1,00
2021-09-02,2021-09-02 00:00,PT_0011,여객선항로,4,LV1,00
2021-09-02,2021-09-02 06:00,PT_0011,여객선항로,4,LV1,00
2021-09-02,2021-09-02 12:00,PT_0011,여객선항로,4,LV1,00
2021-09-02,2021-09-02 18:00,PT_0011,여객선항로,4,LV1,00
2021-09-02,2021-09-03 00:00,PT_0011,여객선항로,4,LV1,00
2021-09-02,2021-09-03 06:00,PT_0011,여객선항로,4,LV1,00
2021-09-02,2021-09-03 12:00,PT_0011,여객선항로,4,LV1,00
2021-09-02,2021-09-03 18:00,PT_0011,여객선항로,4,LV1,00
2021-09-02,2021-09-04 00:00,PT_0011,여객선항로,4,LV1,00
2021-09-02,2021-09-04 06:00,PT_0011,여객선항로,4,LV1,00
2021-09-02,2021-09-04 12:00,PT_0011,여객선항로,4,LV1,00
2021-09-02,2021-09-04 18:00,PT_0011,여객선항로,4,LV1,00
2021-09-02,2021-09-02 00:00,PT_0012,항계안 항로,4,LV1,00
2021-09-02,2021-09-02 06:00,PT_0012,항계안 항로,4,LV1,00
2021-09-02,2021-09-02 12:00,PT_0012,항계안 항로,4,LV1,00
2021-09-02,2021-09-02 18:00,PT_0012,항계안 항로,4,LV1,00
2021-09-02,2021-09-03 00:00,PT_0012,항계안 항로,4,LV1,00
2021-09-02,2021-09-03 06:00,PT_0012,항계안 항로,4,LV1,00
2021-09-02,2021-09-03 12:00,PT_0012,항계안 항로,4,LV1,00
2021-09-02,2021-09-03 18:00,PT_0012,항계안 항로,4,LV1,00
2021-09-02,2021-09-04 00:00,PT_0012,항계안 항로,4,LV1,00
2021-09-02,2021-09-04 06:00,PT_0012,항계안 항로,4,LV1,00
2021-09-02,2021-09-04 12:00,PT_0012,항계안 항로,4,LV1,00
2021-09-02,2021-09-04 18:00,PT_0012,항계안 항로,4,LV1,00
2021-09-02,2021-09-02 00:00,PT_0013,항계밖 항로,4,LV1,00
2021-09-02,2021-09-02 06:00,PT_0013,항계밖 항로,4,LV1,00
2021-09-02,2021-09-02 12:00,PT_0013,항계밖 항로,4,LV1,00
2021-09-02,2021-09-02 18:00,PT_0013,항계밖 항로,4,LV1,00
2021-09-02,2021-09-03 00:00,PT_0013,항계밖 항로,4,LV1,00
2021-09-02,2021-09-03 06:00,PT_0013,항계밖 항로,4,LV1,00
2021-09-02,2021-09-03 12:00,PT_0013,항계밖 항로,4,LV1,00
2021-09-02,2021-09-03 18:00,PT_0013,항계밖 항로,4,LV1,00
2021-09-02,2021-09-04 00:00,PT_0013,항계밖 항로,4,LV1,00
2021-09-02,2021-09-04 06:00,PT_0013,항계밖 항로,4,LV1,00
2021-09-02,2021-09-04 12:00,PT_0013,항계밖 항로,4,LV1,00
2021-09-02,2021-09-04 18:00,PT_0013,항계밖 항로,4,LV1,00
2021-09-02,2021-09-02 00:00,PT_0014,입출항로 항계안,4,LV1,00
2021-09-02,2021-09-02 06:00,PT_0014,입출항로 항계안,4,LV1,00
2021-09-02,2021-09-02 12:00,PT_0014,입출항로 항계안,4,LV1,00
2021-09-02,2021-09-02 18:00,PT_0014,입출항로 항계안,4,LV1,00
2021-09-02,2021-09-03 00:00,PT_0014,입출항로 항계안,4,LV1,00
2021-09-02,2021-09-03 06:00,PT_0014,입출항로 항계안,4,LV1,00
2021-09-02,2021-09-03 12:00,PT_0014,입출항로 항계안,4,LV1,00
2021-09-02,2021-09-03 18:00,PT_0014,입출항로 항계안,4,LV1,00
2021-09-02,2021-09-04 00:00,PT_0014,입출항로 항계안,4,LV1,00
2021-09-02,2021-09-04 06:00,PT_0014,입출항로 항계안,3,LV2,00
2021-09-02,2021-09-04 12:00,PT_0014,입출항로 항계안,4,LV1,00
2021-09-02,2021-09-04 18:00,PT_0014,입출항로 항계안,3,LV2,00
2021-09-02,2021-09-02 00:00,PT_0015,입출항로 제1구간,3,LV2,00
2021-09-02,2021-09-02 06:00,PT_0015,입출항로 제1구간,4,LV1,00
2021-09-02,2021-09-02 12:00,PT_0015,입출항로 제1구간,3,LV2,00
2021-09-02,2021-09-02 18:00,PT_0015,입출항로 제1구간,3,LV2,00
2021-09-02,2021-09-03 00:00,PT_0015,입출항로 제1구간,3,LV2,00
2021-09-02,2021-09-03 06:00,PT_0015,입출항로 제1구간,3,LV2,00
2021-09-02,2021-09-03 12:00,PT_0015,입출항로 제1구간,3,LV2,00
2021-09-02,2021-09-03 18:00,PT_0015,입출항로 제1구간,3,LV2,00
2021-09-02,2021-09-04 00:00,PT_0015,입출항로 제1구간,3,LV2,00
2021-09-02,2021-09-04 06:00,PT_0015,입출항로 제1구간,3,LV2,00
2021-09-02,2021-09-04 12:00,PT_0015,입출항로 제1구간,3,LV2,00
2021-09-02,2021-09-04 18:00,PT_0015,입출항로 제1구간,3,LV2,00
2021-09-02,2021-09-02 00:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-09-02,2021-09-02 06:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-09-02,2021-09-02 12:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-09-02,2021-09-02 18:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-09-02,2021-09-03 00:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-09-02,2021-09-03 06:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-09-02,2021-09-03 12:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-09-02,2021-09-03 18:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-09-02,2021-09-04 00:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-09-02,2021-09-04 06:00,PT_0016,입출항로 제2구간,3,LV2,00
2021-09-02,2021-09-04 12:00,PT_0016,입출항로 제2구간,4,LV1,00
2021-09-02,2021-09-04 18:00,PT_0016,입출항로 제2구간,3,LV2,00
2021-09-02,2021-09-02 00:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-09-02,2021-09-02 06:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-09-02,2021-09-02 12:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-09-02,2021-09-02 18:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-09-02,2021-09-03 00:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-09-02,2021-09-03 06:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-09-02,2021-09-03 12:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-09-02,2021-09-03 18:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-09-02,2021-09-04 00:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-09-02,2021-09-04 06:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-09-02,2021-09-04 12:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-09-02,2021-09-04 18:00,PT_0017,입출항로 제3구간,4,LV1,00
2021-09-02,2021-09-02 00:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-09-02,2021-09-02 06:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-09-02,2021-09-02 12:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-09-02,2021-09-02 18:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-09-02,2021-09-03 00:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-09-02,2021-09-03 06:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-09-02,2021-09-03 12:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-09-02,2021-09-03 18:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-09-02,2021-09-04 00:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-09-02,2021-09-04 06:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-09-02,2021-09-04 12:00,PT_0018,입출항로 제4구간,4,LV1,00
2021-09-02,2021-09-04 18:00,PT_0018,입출항로 제4구간,3,LV2,00
2021-09-02,2021-09-02 00:00,PT_0019,1항로,4,LV1,00
2021-09-02,2021-09-02 06:00,PT_0019,1항로,4,LV1,00
2021-09-02,2021-09-02 12:00,PT_0019,1항로,4,LV1,00
2021-09-02,2021-09-02 18:00,PT_0019,1항로,4,LV1,00
2021-09-02,2021-09-03 00:00,PT_0019,1항로,3,LV2,00
2021-09-02,2021-09-03 06:00,PT_0019,1항로,3,LV2,00
2021-09-02,2021-09-03 12:00,PT_0019,1항로,3,LV2,00
2021-09-02,2021-09-03 18:00,PT_0019,1항로,3,LV2,00
2021-09-02,2021-09-04 00:00,PT_0019,1항로,3,LV2,00
2021-09-02,2021-09-04 06:00,PT_0019,1항로,3,LV2,00
2021-09-02,2021-09-04 12:00,PT_0019,1항로,3,LV2,00
2021-09-02,2021-09-04 18:00,PT_0019,1항로,3,LV2,00
2021-09-02,2021-09-02 00:00,PT_0020,2항로,4,LV1,00
2021-09-02,2021-09-02 06:00,PT_0020,2항로,4,LV1,00
2021-09-02,2021-09-02 12:00,PT_0020,2항로,4,LV1,00
2021-09-02,2021-09-02 18:00,PT_0020,2항로,4,LV1,00
2021-09-02,2021-09-03 00:00,PT_0020,2항로,4,LV1,00
2021-09-02,2021-09-03 06:00,PT_0020,2항로,4,LV1,00
2021-09-02,2021-09-03 12:00,PT_0020,2항로,4,LV1,00
2021-09-02,2021-09-03 18:00,PT_0020,2항로,4,LV1,00
2021-09-02,2021-09-04 00:00,PT_0020,2항로,4,LV1,00
2021-09-02,2021-09-04 06:00,PT_0020,2항로,4,LV1,00
2021-09-02,2021-09-04 12:00,PT_0020,2항로,3,LV2,00
2021-09-02,2021-09-04 18:00,PT_0020,2항로,3,LV2,00
2021-09-02,2021-09-02 00:00,PT_0021,3항로,3,LV2,00
2021-09-02,2021-09-02 06:00,PT_0021,3항로,3,LV2,00
2021-09-02,2021-09-02 12:00,PT_0021,3항로,3,LV2,00
2021-09-02,2021-09-02 18:00,PT_0021,3항로,3,LV2,00
2021-09-02,2021-09-03 00:00,PT_0021,3항로,3,LV2,00
2021-09-02,2021-09-03 06:00,PT_0021,3항로,3,LV2,00
2021-09-02,2021-09-03 12:00,PT_0021,3항로,3,LV2,00
2021-09-02,2021-09-03 18:00,PT_0021,3항로,3,LV2,00
2021-09-02,2021-09-04 00:00,PT_0021,3항로,3,LV2,00
2021-09-02,2021-09-04 06:00,PT_0021,3항로,3,LV2,00
2021-09-02,2021-09-04 12:00,PT_0021,3항로,3,LV2,00
2021-09-02,2021-09-04 18:00,PT_0021,3항로,3,LV2,00
2021-09-02,2021-09-02 00:00,PT_0022,4항로,3,LV2,00
2021-09-02,2021-09-02 06:00,PT_0022,4항로,3,LV2,00
2021-09-02,2021-09-02 12:00,PT_0022,4항로,2,LV3,00
2021-09-02,2021-09-02 18:00,PT_0022,4항로,3,LV2,00
2021-09-02,2021-09-03 00:00,PT_0022,4항로,3,LV2,00
2021-09-02,2021-09-03 06:00,PT_0022,4항로,3,LV2,00
2021-09-02,2021-09-03 12:00,PT_0022,4항로,3,LV2,00
2021-09-02,2021-09-03 18:00,PT_0022,4항로,3,LV2,00
2021-09-02,2021-09-04 00:00,PT_0022,4항로,3,LV2,00
2021-09-02,2021-09-04 06:00,PT_0022,4항로,3,LV2,00
2021-09-02,2021-09-04 12:00,PT_0022,4항로,2,LV3,00
2021-09-02,2021-09-04 18:00,PT_0022,4항로,3,LV2,00
2021-09-02,2021-09-02 00:00,PT_0023,5항로,4,LV1,00
2021-09-02,2021-09-02 06:00,PT_0023,5항로,4,LV1,00
2021-09-02,2021-09-02 12:00,PT_0023,5항로,4,LV1,00
2021-09-02,2021-09-02 18:00,PT_0023,5항로,4,LV1,00
2021-09-02,2021-09-03 00:00,PT_0023,5항로,4,LV1,00
2021-09-02,2021-09-03 06:00,PT_0023,5항로,4,LV1,00
2021-09-02,2021-09-03 12:00,PT_0023,5항로,4,LV1,00
2021-09-02,2021-09-03 18:00,PT_0023,5항로,4,LV1,00
2021-09-02,2021-09-04 00:00,PT_0023,5항로,4,LV1,00
2021-09-02,2021-09-04 06:00,PT_0023,5항로,4,LV1,00
2021-09-02,2021-09-04 12:00,PT_0023,5항로,3,LV2,00
2021-09-02,2021-09-04 18:00,PT_0023,5항로,4,LV1,00
