생산일,코드,항로명,선박명,선박종류,예측일자,시간,운항시간,운항시간점수,선박톤수,선박톤수점수,최소파고,평균파고,최대파고,파고점수,최소풍속,평균풍속,최대풍속,풍속점수,총점수,예보지수
20210710,SK5,완도-제주,실버클라우드,카페리,20210710,AM,2.7,2,20263,5,0.4,0.4,0.4,5,5.4,8.0,9.6,2,1.50,나쁨
20210710,SK5,완도-제주,실버클라우드,카페리,20210710,PM,2.7,2,20263,5,0.4,0.5,0.5,4,6.7,7.9,9.8,2,1.50,나쁨
20210710,SK16,완도-청산,퀸청산,고속선,20210710,AM,0.8,4,997,3,0.3,0.3,0.3,5,4.0,4.7,5.1,3,4.10,좋음
20210710,SK16,완도-청산,퀸청산,고속선,20210710,PM,0.8,4,997,3,0.3,0.3,0.3,5,4.7,5.8,6.5,3,4.10,좋음
20210710,SK16,완도-청산,청산아일랜드,고속선,20210710,AM,0.8,4,498,2,0.3,0.3,0.3,5,4.0,4.7,5.1,3,3.97,좋음
20210710,SK16,완도-청산,청산아일랜드,고속선,20210710,PM,0.8,4,498,2,0.3,0.3,0.3,5,4.7,5.8,6.5,3,3.97,좋음
20210710,SK6,녹동-제주,아리온제주,카페리,20210710,AM,3.8,1,6266,5,0.3,0.3,0.3,5,5.4,8.0,9.6,2,1.50,나쁨
20210710,SK6,녹동-제주,아리온제주,카페리,20210710,PM,3.8,1,6266,5,0.3,0.3,0.4,5,6.7,7.9,8.8,3,3.75,좋음
20210710,SK22,여수-제주,한일골드스텔라,카페리,20210710,AM,5.0,1,15195,5,0.8,0.8,0.9,4,2.9,6.0,8.8,3,3.30,보통
20210710,SK22,여수-제주,한일골드스텔라,카페리,20210710,PM,5.0,1,15195,5,0.8,0.8,0.8,4,5.5,7.8,9.0,3,3.30,보통
20210710,SK17,통영-소매물,한솔1,고속선,20210710,AM,1.7,3,128,2,0.8,0.9,0.9,4,3.7,4.7,5.8,3,3.33,보통
20210710,SK17,통영-소매물,한솔1,고속선,20210710,PM,1.7,3,128,2,0.8,0.8,0.8,4,6.5,8.1,10.5,2,1.50,나쁨
20210710,SK17,통영-소매물,한솔2,고속선,20210710,AM,1.7,3,109,2,0.8,0.9,0.9,4,3.7,4.7,5.8,3,3.33,보통
20210710,SK17,통영-소매물,한솔2,고속선,20210710,PM,1.7,3,109,2,0.8,0.8,0.8,4,6.5,8.1,10.5,2,1.50,나쁨
20210710,SK10,부산-제주,뉴스타,일반카페리,20210710,AM,12.0,1,9997,5,1.0,1.0,1.0,3,3.5,6.1,8.4,3,2.85,보통
20210710,SK10,부산-제주,뉴스타,일반카페리,20210710,PM,12.0,1,9997,5,0.9,1.0,1.0,3,7.6,9.2,10.2,2,1.50,나쁨
20210710,SK11,부산-대마,오션플라워,초쾌속선,20210710,AM,1.2,4,445,2,1.0,1.0,1.0,3,6.5,8.7,10.5,2,1.50,나쁨
20210710,SK11,부산-대마,오션플라워,초쾌속선,20210710,PM,1.2,4,445,2,0.9,1.0,1.0,3,9.0,9.6,10.8,2,1.50,나쁨
20210710,SK11,부산-대마,니나,초쾌속선,20210710,AM,1.5,3,364,2,1.0,1.0,1.0,3,6.5,8.7,10.5,2,1.50,나쁨
20210710,SK11,부산-대마,니나,초쾌속선,20210710,PM,1.5,3,364,2,0.9,1.0,1.0,3,9.0,9.6,10.8,2,1.50,나쁨
20210710,SK11,부산-대마,비틀(대마),초쾌속선,20210710,AM,1.5,3,164,2,1.0,1.0,1.0,3,6.5,8.7,10.5,2,1.50,나쁨
20210710,SK11,부산-대마,비틀(대마),초쾌속선,20210710,PM,1.5,3,164,2,0.9,1.0,1.0,3,9.0,9.6,10.8,2,1.50,나쁨
20210710,SK12,부산-후쿠오카,뉴카멜리아,카페리,20210710,AM,9.0,1,19961,5,1.0,1.0,1.0,3,8.4,9.5,11.5,2,1.50,나쁨
20210710,SK12,부산-후쿠오카,뉴카멜리아,카페리,20210710,PM,9.0,1,19961,5,0.9,1.0,1.0,3,9.3,10.0,12.7,2,1.50,나쁨
20210710,SK12,부산-후쿠오카,코비(후쿠오카),초쾌속선,20210710,AM,3.5,1,162,2,1.0,1.0,1.0,3,8.4,9.5,11.5,2,1.50,나쁨
20210710,SK12,부산-후쿠오카,코비(후쿠오카),초쾌속선,20210710,PM,3.5,1,162,2,0.9,1.0,1.0,3,9.3,10.0,12.7,2,1.50,나쁨
20210710,SK12,부산-후쿠오카,비틀(후쿠오카),초쾌속선,20210710,AM,3.5,1,164,2,1.0,1.0,1.0,3,8.4,9.5,11.5,2,1.50,나쁨
20210710,SK12,부산-후쿠오카,비틀(후쿠오카),초쾌속선,20210710,PM,3.5,1,164,2,0.9,1.0,1.0,3,9.3,10.0,12.7,2,1.50,나쁨
20210710,SK13,부산-오사카,팬스타,카페리,20210710,AM,19.0,1,21688,5,1.0,1.0,1.0,3,8.1,8.2,10.5,2,1.50,나쁨
20210710,SK13,부산-오사카,팬스타,카페리,20210710,PM,19.0,1,21688,5,1.0,1.0,1.0,3,8.7,9.7,12.3,2,1.50,나쁨
20210710,SK7,포항-울릉,엘도라도,초쾌속선,20210710,AM,3.2,1,668,3,0.5,0.5,0.5,4,2.4,2.8,3.3,4,3.28,보통
20210710,SK7,포항-울릉,엘도라도,초쾌속선,20210710,PM,3.2,1,668,3,0.5,0.6,0.8,4,5.9,6.6,7.2,3,3.05,보통
20210710,SK7,포항-울릉,썬라이즈,초쾌속선,20210710,AM,3.2,1,388,2,0.5,0.5,0.5,4,2.4,2.8,3.3,4,3.15,보통
20210710,SK7,포항-울릉,썬라이즈,초쾌속선,20210710,PM,3.2,1,388,2,0.5,0.6,0.8,4,5.9,6.6,7.2,3,2.93,보통
20210710,SK23,후포-울릉,씨플라워,초쾌속선,20210710,AM,2.5,2,388,2,0.5,0.5,0.5,4,2.0,3.5,5.1,3,3.12,보통
20210710,SK23,후포-울릉,씨플라워,초쾌속선,20210710,PM,2.5,2,388,2,0.5,0.6,0.6,4,3.9,5.5,7.1,3,3.12,보통
20210710,SK8,강릉-울릉,씨스타11,초쾌속선,20210710,AM,3.0,1,420,2,0.4,0.5,0.5,4,3.1,4.3,5.1,3,2.93,보통
20210710,SK8,강릉-울릉,씨스타11,초쾌속선,20210710,PM,3.0,1,420,2,0.4,0.5,0.5,4,6.5,7.2,8.2,3,2.93,보통
20210710,SK8,강릉-울릉,씨스타5,초쾌속선,20210710,AM,3.0,1,388,2,0.4,0.5,0.5,4,3.1,4.3,5.1,3,2.93,보통
20210710,SK8,강릉-울릉,씨스타5,초쾌속선,20210710,PM,3.0,1,388,2,0.4,0.5,0.5,4,6.5,7.2,8.2,3,2.93,보통
20210710,SK9,묵호-울릉,씨스타1,초쾌속선,20210710,AM,2.7,2,388,2,0.4,0.4,0.4,5,2.3,3.3,5.0,4,3.80,좋음
20210710,SK9,묵호-울릉,씨스타1,초쾌속선,20210710,PM,2.7,2,388,2,0.4,0.5,0.5,4,4.0,4.7,5.5,3,3.12,보통
20210710,SK9,묵호-울릉,씨스타3,쾌속카페리,20210710,AM,2.7,2,550,3,0.4,0.4,0.4,5,2.3,3.3,5.0,4,3.92,좋음
20210710,SK9,묵호-울릉,씨스타3,쾌속카페리,20210710,PM,2.7,2,550,3,0.4,0.5,0.5,4,4.0,4.7,5.5,3,3.25,보통
20210710,SK1,인천-백령,하모니플라워,쾌속카페리,20210711,AM,3.7,1,2071,4,0.5,0.5,0.5,4,3.9,4.3,4.9,4,3.40,보통
20210710,SK1,인천-백령,하모니플라워,쾌속카페리,20210711,PM,3.7,1,2071,4,0.5,0.5,0.5,4,4.4,4.8,5.4,3,3.18,보통
20210710,SK1,인천-백령,코리아킹,초쾌속선,20210711,AM,3.7,1,534,3,0.5,0.5,0.5,4,3.9,4.3,4.9,4,3.28,보통
20210710,SK1,인천-백령,코리아킹,초쾌속선,20210711,PM,3.7,1,534,3,0.5,0.5,0.5,4,4.4,4.8,5.4,3,3.05,보통
20210710,SK2,인천-연평,플라잉카페리,쾌속카페리,20210711,AM,2.0,3,573,3,0.3,0.3,0.3,5,4.2,4.4,4.9,4,4.12,좋음
20210710,SK2,인천-연평,플라잉카페리,쾌속카페리,20210711,PM,2.0,3,573,3,0.3,0.3,0.3,5,3.5,3.9,4.2,4,4.12,좋음
20210710,SK19,인천-단동,동방명주6,카페리,20210711,AM,16.0,1,16537,5,0.6,0.6,0.6,4,4.0,4.5,5.0,4,3.53,좋음
20210710,SK19,인천-단동,동방명주6,카페리,20210711,PM,16.0,1,16537,5,0.6,0.7,0.7,4,4.5,4.9,5.6,3,3.30,보통
20210710,SK20,인천-석도,화동명주8,카페리,20210711,AM,14.0,1,35092,5,0.5,0.6,0.6,4,4.4,4.6,5.0,4,3.53,좋음
20210710,SK20,인천-석도,화동명주8,카페리,20210711,PM,14.0,1,35092,5,0.5,0.5,0.6,4,3.8,4.3,4.9,4,3.53,좋음
20210710,SK21,대천-외연,웨스트프론티어,일반선,20210711,AM,2.2,3,140,2,0.3,0.3,0.3,5,3.7,4.5,5.1,3,3.77,좋음
20210710,SK21,대천-외연,웨스트프론티어,일반선,20210711,PM,2.2,3,140,2,0.3,0.4,0.4,5,2.5,2.9,3.3,4,4.00,좋음
20210710,SK3,군산-어청,뉴어청훼리,고속선,20210711,AM,2.7,2,121,2,0.4,0.4,0.4,5,3.5,4.2,5.5,3,3.57,좋음
20210710,SK3,군산-어청,뉴어청훼리,고속선,20210711,PM,2.7,2,121,2,0.4,0.4,0.5,4,3.1,3.5,4.0,4,3.35,보통
20210710,SK14,격포-위도,파장금카페리,고속선,20210711,AM,0.8,4,322,2,0.1,0.1,0.1,5,4.5,5.5,6.0,3,3.97,좋음
20210710,SK14,격포-위도,파장금카페리,고속선,20210711,PM,0.8,4,322,2,0.1,0.1,0.1,5,3.2,4.8,6.0,3,3.97,좋음
20210710,SK18,목포-홍도,뉴골드스타,초쾌속선,20210711,AM,2.5,2,308,2,0.9,1.0,1.0,3,5.0,5.4,5.8,3,2.68,보통
20210710,SK18,목포-홍도,뉴골드스타,초쾌속선,20210711,PM,2.5,2,308,2,0.9,1.0,1.0,3,4.3,5.1,6.3,3,2.68,보통
20210710,SK18,목포-홍도,남해엔젤,초쾌속선,20210711,AM,2.5,2,319,2,0.9,1.0,1.0,3,5.0,5.4,5.8,3,2.68,보통
20210710,SK18,목포-홍도,남해엔젤,초쾌속선,20210711,PM,2.5,2,319,2,0.9,1.0,1.0,3,4.3,5.1,6.3,3,2.68,보통
20210710,SK4,목포-제주,퀸제누비아,카페리,20210711,AM,4.5,1,27391,5,1.1,1.2,1.2,3,8.5,9.4,10.0,2,1.50,나쁨
20210710,SK4,목포-제주,퀸제누비아,카페리,20210711,PM,4.5,1,27391,5,1.0,1.1,1.1,3,7.6,8.3,9.9,2,1.50,나쁨
20210710,SK4,목포-제주,퀸메리,카페리,20210711,AM,4.5,1,13665,5,1.1,1.2,1.2,3,8.5,9.4,10.0,2,1.50,나쁨
20210710,SK4,목포-제주,퀸메리,카페리,20210711,PM,4.5,1,13665,5,1.0,1.1,1.1,3,7.6,8.3,9.9,2,1.50,나쁨
20210710,SK5,완도-제주,송림블루오션,카페리,20210711,AM,5.0,1,2374,4,0.8,0.8,0.8,4,8.5,9.4,10.0,2,1.50,나쁨
20210710,SK5,완도-제주,송림블루오션,카페리,20210711,PM,5.0,1,2374,4,0.7,0.7,0.8,4,7.6,8.4,10.0,2,1.50,나쁨
20210710,SK5,완도-제주,한일블루나래,쾌속카페리,20210711,AM,1.7,3,1605,4,0.8,0.8,0.8,4,8.5,9.4,10.0,2,1.50,나쁨
20210710,SK5,완도-제주,한일블루나래,쾌속카페리,20210711,PM,1.7,3,1605,4,0.7,0.7,0.8,4,7.6,8.4,10.0,2,1.50,나쁨
20210710,SK5,완도-제주,실버클라우드,카페리,20210711,AM,2.7,2,20263,5,0.8,0.8,0.8,4,8.5,9.4,10.0,2,1.50,나쁨
20210710,SK5,완도-제주,실버클라우드,카페리,20210711,PM,2.7,2,20263,5,0.7,0.7,0.8,4,7.6,8.4,10.0,2,1.50,나쁨
20210710,SK16,완도-청산,퀸청산,고속선,20210711,AM,0.8,4,997,3,0.6,0.6,0.6,4,4.8,5.6,6.6,3,3.65,좋음
20210710,SK16,완도-청산,퀸청산,고속선,20210711,PM,0.8,4,997,3,0.6,0.6,0.6,4,4.5,5.9,7.3,3,3.65,좋음
20210710,SK16,완도-청산,청산아일랜드,고속선,20210711,AM,0.8,4,498,2,0.6,0.6,0.6,4,4.8,5.6,6.6,3,3.53,좋음
20210710,SK16,완도-청산,청산아일랜드,고속선,20210711,PM,0.8,4,498,2,0.6,0.6,0.6,4,4.5,5.9,7.3,3,3.53,좋음
20210710,SK6,녹동-제주,아리온제주,카페리,20210711,AM,3.8,1,6266,5,0.6,0.7,0.7,4,8.5,9.4,10.0,2,1.50,나쁨
20210710,SK6,녹동-제주,아리온제주,카페리,20210711,PM,3.8,1,6266,5,0.6,0.6,0.6,4,7.6,8.3,9.9,2,1.50,나쁨
20210710,SK22,여수-제주,한일골드스텔라,카페리,20210711,AM,5.0,1,15195,5,1.1,1.1,1.1,3,8.3,9.4,9.9,2,1.50,나쁨
20210710,SK22,여수-제주,한일골드스텔라,카페리,20210711,PM,5.0,1,15195,5,1.0,1.1,1.1,3,7.2,8.9,10.8,2,1.50,나쁨
20210710,SK17,통영-소매물,한솔1,고속선,20210711,AM,1.7,3,128,2,0.9,0.9,1.0,3,6.2,6.9,7.8,3,2.88,보통
20210710,SK17,통영-소매물,한솔1,고속선,20210711,PM,1.7,3,128,2,1.0,1.0,1.1,3,6.9,7.5,8.3,3,2.88,보통
20210710,SK17,통영-소매물,한솔2,고속선,20210711,AM,1.7,3,109,2,0.9,0.9,1.0,3,6.2,6.9,7.8,3,2.88,보통
20210710,SK17,통영-소매물,한솔2,고속선,20210711,PM,1.7,3,109,2,1.0,1.0,1.1,3,6.9,7.5,8.3,3,2.88,보통
20210710,SK10,부산-제주,뉴스타,일반카페리,20210711,AM,12.0,1,9997,5,1.3,1.3,1.3,3,8.7,9.4,9.7,2,1.50,나쁨
20210710,SK10,부산-제주,뉴스타,일반카페리,20210711,PM,12.0,1,9997,5,1.3,1.3,1.3,3,8.6,9.4,10.5,2,1.50,나쁨
20210710,SK11,부산-대마,오션플라워,초쾌속선,20210711,AM,1.2,4,445,2,0.9,0.9,0.9,4,7.6,8.3,9.0,3,3.53,좋음
20210710,SK11,부산-대마,오션플라워,초쾌속선,20210711,PM,1.2,4,445,2,0.9,1.0,1.1,3,8.6,9.2,9.7,2,1.50,나쁨
20210710,SK11,부산-대마,니나,초쾌속선,20210711,AM,1.5,3,364,2,0.9,0.9,0.9,4,7.6,8.3,9.0,3,3.33,보통
20210710,SK11,부산-대마,니나,초쾌속선,20210711,PM,1.5,3,364,2,0.9,1.0,1.1,3,8.6,9.2,9.7,2,1.50,나쁨
20210710,SK11,부산-대마,비틀(대마),초쾌속선,20210711,AM,1.5,3,164,2,0.9,0.9,0.9,4,7.6,8.3,9.0,3,3.33,보통
20210710,SK11,부산-대마,비틀(대마),초쾌속선,20210711,PM,1.5,3,164,2,0.9,1.0,1.1,3,8.6,9.2,9.7,2,1.50,나쁨
20210710,SK12,부산-후쿠오카,뉴카멜리아,카페리,20210711,AM,9.0,1,19961,5,0.9,1.0,1.0,3,7.4,8.0,8.9,3,2.85,보통
20210710,SK12,부산-후쿠오카,뉴카멜리아,카페리,20210711,PM,9.0,1,19961,5,1.0,1.2,1.4,3,8.7,9.3,9.6,2,1.50,나쁨
20210710,SK12,부산-후쿠오카,코비(후쿠오카),초쾌속선,20210711,AM,3.5,1,162,2,0.9,1.0,1.0,3,7.4,8.0,8.9,3,2.48,나쁨
20210710,SK12,부산-후쿠오카,코비(후쿠오카),초쾌속선,20210711,PM,3.5,1,162,2,1.0,1.2,1.4,3,8.7,9.3,9.6,2,1.50,나쁨
20210710,SK12,부산-후쿠오카,비틀(후쿠오카),초쾌속선,20210711,AM,3.5,1,164,2,0.9,1.0,1.0,3,7.4,8.0,8.9,3,2.48,나쁨
20210710,SK12,부산-후쿠오카,비틀(후쿠오카),초쾌속선,20210711,PM,3.5,1,164,2,1.0,1.2,1.4,3,8.7,9.3,9.6,2,1.50,나쁨
20210710,SK13,부산-오사카,팬스타,카페리,20210711,AM,19.0,1,21688,5,0.9,1.0,1.0,3,7.7,8.1,9.1,2,1.50,나쁨
20210710,SK13,부산-오사카,팬스타,카페리,20210711,PM,19.0,1,21688,5,0.9,1.1,1.3,3,9.0,9.5,9.7,2,1.50,나쁨
20210710,SK7,포항-울릉,엘도라도,초쾌속선,20210711,AM,3.2,1,668,3,0.8,0.8,0.9,4,4.8,5.2,5.8,3,3.05,보통
20210710,SK7,포항-울릉,엘도라도,초쾌속선,20210711,PM,3.2,1,668,3,0.8,0.8,0.8,4,5.0,5.5,6.6,3,3.05,보통
20210710,SK7,포항-울릉,썬라이즈,초쾌속선,20210711,AM,3.2,1,388,2,0.8,0.8,0.9,4,4.8,5.2,5.8,3,2.93,보통
20210710,SK7,포항-울릉,썬라이즈,초쾌속선,20210711,PM,3.2,1,388,2,0.8,0.8,0.8,4,5.0,5.5,6.6,3,2.93,보통
20210710,SK23,후포-울릉,씨플라워,초쾌속선,20210711,AM,2.5,2,388,2,0.8,0.8,0.9,4,5.4,6.1,6.6,3,3.12,보통
20210710,SK23,후포-울릉,씨플라워,초쾌속선,20210711,PM,2.5,2,388,2,0.8,0.8,0.8,4,5.8,6.1,6.9,3,3.12,보통
20210710,SK8,강릉-울릉,씨스타11,초쾌속선,20210711,AM,3.0,1,420,2,0.7,0.8,0.8,4,6.1,6.6,6.8,3,2.93,보통
20210710,SK8,강릉-울릉,씨스타11,초쾌속선,20210711,PM,3.0,1,420,2,0.7,0.7,0.7,4,4.3,5.3,6.1,3,2.93,보통
20210710,SK8,강릉-울릉,씨스타5,초쾌속선,20210711,AM,3.0,1,388,2,0.7,0.8,0.8,4,6.1,6.6,6.8,3,2.93,보통
20210710,SK8,강릉-울릉,씨스타5,초쾌속선,20210711,PM,3.0,1,388,2,0.7,0.7,0.7,4,4.3,5.3,6.1,3,2.93,보통
20210710,SK9,묵호-울릉,씨스타1,초쾌속선,20210711,AM,2.7,2,388,2,0.8,0.8,0.8,4,3.4,3.9,4.5,4,3.35,보통
20210710,SK9,묵호-울릉,씨스타1,초쾌속선,20210711,PM,2.7,2,388,2,0.7,0.7,0.8,4,3.2,4.0,4.5,4,3.35,보통
20210710,SK9,묵호-울릉,씨스타3,쾌속카페리,20210711,AM,2.7,2,550,3,0.8,0.8,0.8,4,3.4,3.9,4.5,4,3.48,보통
20210710,SK9,묵호-울릉,씨스타3,쾌속카페리,20210711,PM,2.7,2,550,3,0.7,0.7,0.8,4,3.2,4.0,4.5,4,3.48,보통
20210710,SK1,인천-백령,하모니플라워,쾌속카페리,20210712,AM,3.7,1,2071,4,0.6,0.6,0.6,4,6.0,6.1,6.2,3,3.18,보통
20210710,SK1,인천-백령,하모니플라워,쾌속카페리,20210712,PM,3.7,1,2071,4,0.6,0.6,0.6,4,5.8,6.2,6.7,3,3.18,보통
20210710,SK1,인천-백령,코리아킹,초쾌속선,20210712,AM,3.7,1,534,3,0.6,0.6,0.6,4,6.0,6.1,6.2,3,3.05,보통
20210710,SK1,인천-백령,코리아킹,초쾌속선,20210712,PM,3.7,1,534,3,0.6,0.6,0.6,4,5.8,6.2,6.7,3,3.05,보통
20210710,SK2,인천-연평,플라잉카페리,쾌속카페리,20210712,AM,2.0,3,573,3,0.3,0.4,0.4,5,3.6,4.0,4.3,4,4.12,좋음
20210710,SK2,인천-연평,플라잉카페리,쾌속카페리,20210712,PM,2.0,3,573,3,0.3,0.3,0.4,5,2.4,2.8,3.2,4,4.12,좋음
20210710,SK19,인천-단동,동방명주6,카페리,20210712,AM,16.0,1,16537,5,0.8,0.8,0.8,4,6.8,7.2,7.5,3,3.30,보통
20210710,SK19,인천-단동,동방명주6,카페리,20210712,PM,16.0,1,16537,5,0.8,0.9,1.0,3,7.5,7.8,8.2,3,2.85,보통
20210710,SK20,인천-석도,화동명주8,카페리,20210712,AM,14.0,1,35092,5,0.8,0.8,0.8,4,5.6,5.9,6.2,3,3.30,보통
20210710,SK20,인천-석도,화동명주8,카페리,20210712,PM,14.0,1,35092,5,0.8,0.8,0.9,4,5.2,5.5,6.0,3,3.30,보통
20210710,SK21,대천-외연,웨스트프론티어,일반선,20210712,AM,2.2,3,140,2,0.4,0.4,0.4,5,2.7,3.5,4.0,4,4.00,좋음
20210710,SK21,대천-외연,웨스트프론티어,일반선,20210712,PM,2.2,3,140,2,0.3,0.4,0.4,5,2.2,2.4,2.8,4,4.00,좋음
20210710,SK3,군산-어청,뉴어청훼리,고속선,20210712,AM,2.7,2,121,2,0.4,0.4,0.4,5,2.6,3.0,3.5,4,3.80,좋음
20210710,SK3,군산-어청,뉴어청훼리,고속선,20210712,PM,2.7,2,121,2,0.4,0.4,0.4,5,2.5,2.7,2.8,4,3.80,좋음
20210710,SK14,격포-위도,파장금카페리,고속선,20210712,AM,0.8,4,322,2,0.1,0.1,0.1,5,4.1,4.8,5.7,3,3.97,좋음
20210710,SK14,격포-위도,파장금카페리,고속선,20210712,PM,0.8,4,322,2,0.1,0.1,0.1,5,2.4,3.2,4.1,4,4.20,좋음
20210710,SK18,목포-홍도,뉴골드스타,초쾌속선,20210712,AM,2.5,2,308,2,0.7,0.7,0.7,4,4.2,4.3,4.8,4,3.35,보통
20210710,SK18,목포-홍도,뉴골드스타,초쾌속선,20210712,PM,2.5,2,308,2,0.6,0.6,0.7,4,3.7,4.4,5.5,3,3.12,보통
20210710,SK18,목포-홍도,남해엔젤,초쾌속선,20210712,AM,2.5,2,319,2,0.7,0.7,0.7,4,4.2,4.3,4.8,4,3.35,보통
20210710,SK18,목포-홍도,남해엔젤,초쾌속선,20210712,PM,2.5,2,319,2,0.6,0.6,0.7,4,3.7,4.4,5.5,3,3.12,보통
20210710,SK4,목포-제주,퀸제누비아,카페리,20210712,AM,4.5,1,27391,5,0.7,0.7,0.8,4,7.1,8.4,9.2,2,1.50,나쁨
20210710,SK4,목포-제주,퀸제누비아,카페리,20210712,PM,4.5,1,27391,5,0.7,0.7,0.7,4,5.6,6.8,9.5,2,1.50,나쁨
20210710,SK4,목포-제주,퀸메리,카페리,20210712,AM,4.5,1,13665,5,0.7,0.7,0.8,4,7.1,8.4,9.2,2,1.50,나쁨
20210710,SK4,목포-제주,퀸메리,카페리,20210712,PM,4.5,1,13665,5,0.7,0.7,0.7,4,5.6,6.8,9.5,2,1.50,나쁨
20210710,SK5,완도-제주,송림블루오션,카페리,20210712,AM,5.0,1,2374,4,0.5,0.5,0.5,4,7.1,8.4,9.2,2,1.50,나쁨
20210710,SK5,완도-제주,송림블루오션,카페리,20210712,PM,5.0,1,2374,4,0.4,0.5,0.5,4,4.4,6.8,9.5,2,1.50,나쁨
20210710,SK5,완도-제주,한일블루나래,쾌속카페리,20210712,AM,1.7,3,1605,4,0.5,0.5,0.5,4,7.1,8.4,9.2,2,1.50,나쁨
