생성시간, 예측시간, 지점코드, 선박명, 운항지점, 지수, 지수단계, 수정사유
2021-07-14,2021-07-15 06:00,WD_0002_04,송림블루오션,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-15 12:00,WD_0002_04,송림블루오션,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-15 18:00,WD_0002_04,송림블루오션,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-16 00:00,WD_0002_04,송림블루오션,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-16 06:00,WD_0002_04,송림블루오션,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-16 12:00,WD_0002_04,송림블루오션,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-16 18:00,WD_0002_04,송림블루오션,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-14 00:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 06:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 12:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 18:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 00:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 06:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 12:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 18:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 00:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 06:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 12:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 18:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 00:00,WD_0002_02,한일블루나래,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-14 06:00,WD_0002_02,한일블루나래,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-14 12:00,WD_0002_02,한일블루나래,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-14 18:00,WD_0002_02,한일블루나래,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-15 00:00,WD_0002_02,한일블루나래,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-15 06:00,WD_0002_02,한일블루나래,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-15 12:00,WD_0002_02,한일블루나래,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-15 18:00,WD_0002_02,한일블루나래,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-16 00:00,WD_0002_02,한일블루나래,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-16 06:00,WD_0002_02,한일블루나래,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-16 12:00,WD_0002_02,한일블루나래,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-16 18:00,WD_0002_02,한일블루나래,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-14 00:00,WD_0001_03,실버클라우드,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 06:00,WD_0001_03,실버클라우드,완도-제주(1구간),4,LV1,00
