생산일,코드,권역,지역,예측일자,갈라짐시작시간,갈라짐종료시간,체험시간,체험시간점수,최저기온,평균기온,최고기온,기온점수,최저풍속,평균풍속,최대풍속,풍속점수,날씨,날씨점수,강수량,강수점수,특보,특보점수,총점수,예보지수,,,,,,,
20210714,SD10,남해동부,소매물도,20210714,15:23,18:00,2.62,4,26,26,28,5,3,4,4,4,1,5,0,5,-,5,4.2,좋음,,,,,,,
20210714,SD11,남해동부,동섬,20210714,16:08,18:00,1.87,3,27,28,28,5,2,4,5,3,3,3,0,5,-,5,3.1,보통,,,,,,,
20210714,SD19,남해서부,우도,20210714,9:00,9:38,0.63,2,26,28,28,5,2,3,5,3,3,3,0,5,-,5,2.4,나쁨,,,,,,,
20210714,SD19,남해서부,우도,20210714,15:11,18:00,2.82,4,26,28,28,5,2,3,5,3,3,3,0,5,-,5,3.8,보통,,,,,,,
20210714,SD20,황해중부,선재도,20210714,10:04,17:22,7.3,5,23,23,26,4,3,5,5,3,4,2,0,5,-,5,4.3,좋음,,,,,,,
20210714,SD21,황해남부,화도,20210714,9:00,18:00,9,5,24,25,27,5,5,6,6,3,4,2,0,5,-,5,4.35,좋음,,,,,,,
20210714,SD4,황해중부,제부도,20210714,9:37,17:52,8.25,5,25,25,28,5,2,4,6,3,4,2,0,5,-,5,4.35,좋음,,,,,,,
20210714,SD5,제주도,서건도,20210714,9:00,9:02,0.03,1,28,28,29,5,1,2,3,4,4,2,0,5,-,5,1,매우나쁨,,,,,,,
20210714,SD5,제주도,서건도,20210714,14:59,18:00,3.02,5,28,28,29,5,1,2,3,4,4,2,0,5,-,5,4.45,좋음,,,,,,,
20210714,SD6,황해중부,실미도,20210714,11:20,16:19,4.98,5,23,23,28,4,3,4,6,3,4,2,0,5,-,5,4.3,좋음,,,,,,,
20210714,SD8,황해중부,웅도,20210714,9:25,18:00,8.58,5,24,24,29,5,5,7,8,3,4,2,0,5,-,5,4.35,좋음,,,,,,,
20210714,SD9,황해중부,소야도,20210714,11:29,16:04,4.58,5,23,23,27,4,4,7,9,2,4,2,0,5,-,5,4.2,좋음,,,,,,,
20210714,SD10,남해동부,소매물도,20210715,16:21,18:00,1.65,3,26,26,28,5,2,3,3,4,3,3,0,5,-,5,3.2,보통,,,,,,,
20210714,SD11,남해동부,동섬,20210715,17:27,18:00,0.55,2,27,28,29,5,2,3,4,4,3,3,0,5,-,5,2.5,나쁨,,,,,,,
20210714,SD19,남해서부,우도,20210715,9:00,10:24,1.4,3,26,29,29,5,2,2,4,4,4,2,0,5,-,5,3.05,보통,,,,,,,
20210714,SD19,남해서부,우도,20210715,16:02,18:00,1.97,3,26,29,29,5,2,2,4,4,4,2,0,5,-,5,3.05,보통,,,,,,,
20210714,SD20,황해중부,선재도,20210715,10:38,18:00,7.37,5,23,23,26,4,2,3,4,4,4,2,0,5,-,5,4.4,좋음,,,,,,,
20210714,SD21,황해남부,화도,20210715,9:00,18:00,9,5,25,25,27,5,1,3,5,3,3,3,0,5,-,5,4.5,좋음,,,,,,,
20210714,SD4,황해중부,제부도,20210715,10:09,18:00,7.85,5,23,23,27,4,2,4,5,3,4,2,0,5,-,5,4.3,좋음,,,,,,,
20210714,SD5,제주도,서건도,20210715,9:00,9:54,0.9,2,27,28,28,5,2,3,4,4,4,2,0,5,-,5,2.35,나쁨,,,,,,,
20210714,SD5,제주도,서건도,20210715,15:52,18:00,2.13,4,27,28,28,5,2,3,4,4,4,2,0,5,-,5,3.75,보통,,,,,,,
20210714,SD6,황해중부,실미도,20210715,11:54,16:58,5.07,5,23,23,27,4,2,3,4,4,4,2,0,5,-,5,4.4,좋음,,,,,,,
20210714,SD8,황해중부,웅도,20210715,9:57,18:00,8.05,5,25,25,28,5,3,5,5,3,4,2,0,5,-,5,4.35,좋음,,,,,,,
