생성시간, 예측시간, 지점코드, 지점이름, 지수, 지수단계, 수정사유
2021-08-30,2021-08-30 00:00,MR_0001,왕산,4,LV1,00
2021-08-30,2021-08-30 06:00,MR_0001,왕산,4,LV1,00
2021-08-30,2021-08-30 12:00,MR_0001,왕산,4,LV1,00
2021-08-30,2021-08-30 18:00,MR_0001,왕산,4,LV1,00
2021-08-30,2021-08-31 00:00,MR_0001,왕산,4,LV1,00
2021-08-30,2021-08-31 06:00,MR_0001,왕산,4,LV1,00
2021-08-30,2021-08-31 12:00,MR_0001,왕산,4,LV1,00
2021-08-30,2021-08-31 18:00,MR_0001,왕산,4,LV1,00
2021-08-30,2021-09-01 00:00,MR_0001,왕산,3,LV2,00
2021-08-30,2021-09-01 06:00,MR_0001,왕산,3,LV2,00
2021-08-30,2021-09-01 12:00,MR_0001,왕산,3,LV2,00
2021-08-30,2021-09-01 18:00,MR_0001,왕산,2,LV3,00
2021-08-30,2021-08-30 00:00,MR_0002,전곡,4,LV1,00
2021-08-30,2021-08-30 06:00,MR_0002,전곡,4,LV1,00
2021-08-30,2021-08-30 12:00,MR_0002,전곡,4,LV1,00
2021-08-30,2021-08-30 18:00,MR_0002,전곡,4,LV1,00
2021-08-30,2021-08-31 00:00,MR_0002,전곡,4,LV1,00
2021-08-30,2021-08-31 06:00,MR_0002,전곡,4,LV1,00
2021-08-30,2021-08-31 12:00,MR_0002,전곡,4,LV1,00
2021-08-30,2021-08-31 18:00,MR_0002,전곡,4,LV1,00
2021-08-30,2021-09-01 00:00,MR_0002,전곡,3,LV2,00
2021-08-30,2021-09-01 06:00,MR_0002,전곡,4,LV1,00
2021-08-30,2021-09-01 12:00,MR_0002,전곡,4,LV1,00
2021-08-30,2021-09-01 18:00,MR_0002,전곡,4,LV1,00
2021-08-30,2021-08-30 00:00,MR_0003,수영,4,LV1,00
2021-08-30,2021-08-30 06:00,MR_0003,수영,4,LV1,00
2021-08-30,2021-08-30 12:00,MR_0003,수영,4,LV1,00
2021-08-30,2021-08-30 18:00,MR_0003,수영,4,LV1,00
2021-08-30,2021-08-31 00:00,MR_0003,수영,4,LV1,00
2021-08-30,2021-08-31 06:00,MR_0003,수영,4,LV1,00
2021-08-30,2021-08-31 12:00,MR_0003,수영,4,LV1,00
2021-08-30,2021-08-31 18:00,MR_0003,수영,4,LV1,00
2021-08-30,2021-09-01 00:00,MR_0003,수영,4,LV1,00
2021-08-30,2021-09-01 06:00,MR_0003,수영,4,LV1,00
2021-08-30,2021-09-01 12:00,MR_0003,수영,3,LV2,00
2021-08-30,2021-09-01 18:00,MR_0003,수영,3,LV2,00
2021-08-30,2021-08-30 00:00,MPM_001,목포,4,LV1,00
2021-08-30,2021-08-30 06:00,MPM_001,목포,4,LV1,00
2021-08-30,2021-08-30 12:00,MPM_001,목포,4,LV1,00
2021-08-30,2021-08-30 18:00,MPM_001,목포,4,LV1,00
2021-08-30,2021-08-31 00:00,MPM_001,목포,4,LV1,00
2021-08-30,2021-08-31 06:00,MPM_001,목포,4,LV1,00
2021-08-30,2021-08-31 12:00,MPM_001,목포,4,LV1,00
2021-08-30,2021-08-31 18:00,MPM_001,목포,4,LV1,00
2021-08-30,2021-09-01 00:00,MPM_001,목포,4,LV1,00
2021-08-30,2021-09-01 06:00,MPM_001,목포,4,LV1,00
2021-08-30,2021-09-01 12:00,MPM_001,목포,4,LV1,00
2021-08-30,2021-09-01 18:00,MPM_001,목포,3,LV2,00
2021-08-30,2021-08-30 00:00,TY_0001,통영,4,LV1,00
2021-08-30,2021-08-30 06:00,TY_0001,통영,4,LV1,00
2021-08-30,2021-08-30 12:00,TY_0001,통영,4,LV1,00
2021-08-30,2021-08-30 18:00,TY_0001,통영,4,LV1,00
2021-08-30,2021-08-31 00:00,TY_0001,통영,4,LV1,00
2021-08-30,2021-08-31 06:00,TY_0001,통영,4,LV1,00
2021-08-30,2021-08-31 12:00,TY_0001,통영,4,LV1,00
2021-08-30,2021-08-31 18:00,TY_0001,통영,4,LV1,00
2021-08-30,2021-09-01 00:00,TY_0001,통영,4,LV1,00
2021-08-30,2021-09-01 06:00,TY_0001,통영,4,LV1,00
2021-08-30,2021-09-01 12:00,TY_0001,통영,3,LV2,00
2021-08-30,2021-09-01 18:00,TY_0001,통영,4,LV1,00
2021-08-30,2021-08-30 00:00,YS_0001,소호,4,LV1,00
2021-08-30,2021-08-30 06:00,YS_0001,소호,4,LV1,00
2021-08-30,2021-08-30 12:00,YS_0001,소호,4,LV1,00
2021-08-30,2021-08-30 18:00,YS_0001,소호,4,LV1,00
2021-08-30,2021-08-31 00:00,YS_0001,소호,4,LV1,00
2021-08-30,2021-08-31 06:00,YS_0001,소호,4,LV1,00
2021-08-30,2021-08-31 12:00,YS_0001,소호,4,LV1,00
2021-08-30,2021-08-31 18:00,YS_0001,소호,4,LV1,00
2021-08-30,2021-09-01 00:00,YS_0001,소호,4,LV1,00
2021-08-30,2021-09-01 06:00,YS_0001,소호,4,LV1,00
2021-08-30,2021-09-01 12:00,YS_0001,소호,4,LV1,00
2021-08-30,2021-09-01 18:00,YS_0001,소호,4,LV1,00
