STN,NAME,DATE,AM/PM,TEMP_MIN,TEMP_AVE,TEMP_MAX,WIND_MIN,WIND_AVE,WIND_MAX,SKY,RAIN_AMT
TL17,신시도마을,20210827,AM,25.0,25.5,26.0,3.1,3.8,4.4,4,0
TL17,신시도마을,20210827,PM,23.0,24.7,26.0,3.2,4.6,6.2,4,6.6
TL17,신시도마을,20210828,AM,24.0,25.0,26.0,3.8,4.2,4.6,4,0
TL17,신시도마을,20210828,PM,26.0,26.3,27.0,3.8,4.6,5.2,4,0
TL18,대야도마을,20210826,AM,26.0,26.5,27.0,6.8,6.8,6.9,4,0
TL18,대야도마을,20210826,PM,25.0,26.0,27.0,4.7,5.7,6.8,4,0
TL18,대야도마을,20210827,AM,24.0,24.5,25.0,1.7,3.1,4.5,4,0
TL18,대야도마을,20210827,PM,22.0,23.0,24.0,4.5,4.8,5.4,4,21.2
TL18,대야도마을,20210828,AM,23.0,24.5,26.0,0.3,1.3,2.3,4,0
TL18,대야도마을,20210828,PM,25.0,25.7,26.0,0.3,2.1,3.0,4,0
TL19,장자도마을,20210826,AM,26.0,27.0,28.0,5.8,6.3,6.8,4,0
TL19,장자도마을,20210826,PM,26.0,27.0,28.0,5.8,6.0,6.4,4,0
TL19,장자도마을,20210827,AM,24.0,25.0,26.0,3.1,3.7,4.2,4,0
TL19,장자도마을,20210827,PM,23.0,24.3,26.0,4.2,5.1,6.6,4,8.2
TL19,장자도마을,20210828,AM,24.0,25.0,26.0,4.2,4.5,4.8,4,0
TL19,장자도마을,20210828,PM,25.0,26.0,27.0,4.2,5.0,5.7,4,0
TL20,다대마을,20210826,AM,25.0,26.0,27.0,4.1,4.2,4.3,1,8.1
TL20,다대마을,20210826,PM,25.0,26.0,27.0,4.1,4.5,5.0,3,0
TL20,다대마을,20210827,AM,26.0,26.5,27.0,2.2,3.4,4.5,4,0
TL20,다대마을,20210827,PM,26.0,26.7,27.0,4.5,5.4,6.3,4,0
TL20,다대마을,20210828,AM,25.0,25.5,26.0,1.8,3.4,5.1,4,1
TL20,다대마을,20210828,PM,25.0,25.7,26.0,1.8,3.7,5.1,4,4.2
TL21,냉천마을,20210826,AM,27.0,28.0,29.0,3.2,3.5,3.7,3,0
TL21,냉천마을,20210826,PM,28.0,28.7,29.0,3.7,4.3,4.9,3,0
TL21,냉천마을,20210827,AM,26.0,27.0,28.0,1.0,3.0,5.1,4,0
TL21,냉천마을,20210827,PM,28.0,28.3,29.0,5.1,6.2,6.7,4,0
TL21,냉천마을,20210828,AM,26.0,27.0,28.0,2.5,3.3,4.1,4,5.8
TL21,냉천마을,20210828,PM,28.0,28.0,28.0,2.2,2.8,3.6,4,3.3
TL22,사금마을,20210826,AM,27.0,28.0,29.0,1.4,2.0,2.6,1,0
TL22,사금마을,20210826,PM,27.0,28.7,30.0,2.6,3.0,3.6,1,0
TL22,사금마을,20210827,AM,26.0,27.5,29.0,5.2,6.1,7.0,4,1.8
TL22,사금마을,20210827,PM,27.0,28.7,30.0,5.8,6.6,7.0,4,5.7
TL22,사금마을,20210828,AM,26.0,27.0,28.0,1.8,2.4,3.0,4,6.7
TL22,사금마을,20210828,PM,27.0,28.0,29.0,3.0,4.3,5.1,4,1.5
TL23,서중마을,20210826,AM,26.0,27.5,29.0,0.8,1.6,2.4,1,0
TL23,서중마을,20210826,PM,28.0,28.7,29.0,2.1,2.5,3.0,1,0
TL23,서중마을,20210827,AM,27.0,27.5,28.0,4.6,5.3,6.1,4,1.9
TL23,서중마을,20210827,PM,27.0,28.0,29.0,4.5,5.6,6.2,4,5.5
TL23,서중마을,20210828,AM,25.0,26.5,28.0,1.9,2.5,3.0,4,3.8
TL23,서중마을,20210828,PM,27.0,27.7,28.0,3.0,3.9,4.7,4,2
TL24,제부마을,20210826,AM,25.0,26.0,27.0,5.4,5.7,5.9,4,0
TL24,제부마을,20210826,PM,26.0,27.0,28.0,5.0,5.5,6.0,4,0
TL24,제부마을,20210827,AM,24.0,24.5,25.0,1.9,6.4,10.8,4,0.5
TL24,제부마을,20210827,PM,23.0,23.7,24.0,1.3,4.8,10.8,4,2.3
TL24,제부마을,20210828,AM,24.0,24.5,25.0,0.9,1.8,2.7,4,0
TL24,제부마을,20210828,PM,24.0,25.0,26.0,2.7,4.0,5.1,4,0
TL25,병술만마을,20210826,AM,26.0,26.5,27.0,7.3,7.3,7.4,4,0
TL25,병술만마을,20210826,PM,25.0,26.0,27.0,5.2,6.2,7.3,4,0
TL25,병술만마을,20210827,AM,24.0,24.5,25.0,1.9,3.4,4.9,4,0
TL25,병술만마을,20210827,PM,22.0,23.0,24.0,4.8,5.2,5.9,4,24.8
TL25,병술만마을,20210828,AM,23.0,24.0,25.0,0.6,1.5,2.4,4,0
TL25,병술만마을,20210828,PM,25.0,25.3,26.0,0.6,2.4,3.3,4,0
TL26,송계마을,20210826,AM,26.0,27.0,28.0,4.4,4.7,5.0,3,0
TL26,송계마을,20210826,PM,27.0,27.7,28.0,3.5,4.3,5.0,4,0
TL26,송계마을,20210827,AM,25.0,26.0,27.0,1.0,1.1,1.1,4,0
TL26,송계마을,20210827,PM,25.0,26.3,27.0,1.1,4.4,9.9,4,17.9
TL26,송계마을,20210828,AM,24.0,25.5,27.0,0.2,1.2,2.3,4,0
TL26,송계마을,20210828,PM,26.0,27.0,28.0,0.2,1.9,3.5,4,0
TL27,국화리마을,20210826,AM,26.0,27.0,28.0,5.3,5.4,5.6,4,0
TL27,국화리마을,20210826,PM,26.0,27.0,28.0,4.6,5.3,5.7,4,0
TL27,국화리마을,20210827,AM,24.0,25.0,26.0,1.8,6.0,10.1,4,0.5
TL27,국화리마을,20210827,PM,21.0,22.3,24.0,0.6,4.2,10.1,4,2.5
TL27,국화리마을,20210828,AM,24.0,25.0,26.0,0.8,1.4,2.0,4,0
TL27,국화리마을,20210828,PM,25.0,25.7,26.0,2.0,3.3,4.2,4,0
TL28,유포마을,20210826,AM,25.0,26.5,28.0,3.2,3.5,3.8,3,0
TL28,유포마을,20210826,PM,27.0,28.0,29.0,3.8,4.5,5.3,3,0
TL28,유포마을,20210827,AM,25.0,26.0,27.0,0.6,3.3,6.1,4,0
TL28,유포마을,20210827,PM,27.0,27.7,29.0,6.1,6.6,6.9,4,2.5
TL28,유포마을,20210828,AM,25.0,26.0,27.0,3.3,3.6,4.0,4,3.5
TL28,유포마을,20210828,PM,27.0,27.0,27.0,2.6,3.2,3.8,4,1.5
TL29,대포마을,20210826,AM,27.0,28.5,30.0,1.9,2.1,2.3,3,0
TL29,대포마을,20210826,PM,29.0,30.0,31.0,2.3,2.8,3.5,3,0
TL29,대포마을,20210827,AM,26.0,27.5,29.0,1.2,2.6,4.0,4,0
TL29,대포마을,20210827,PM,29.0,29.3,30.0,4.0,4.5,4.9,4,1.5
TL29,대포마을,20210828,AM,26.0,27.0,28.0,1.3,1.9,2.4,4,7.8
TL29,대포마을,20210828,PM,28.0,28.3,29.0,1.3,1.8,2.3,4,5.4
TL30,청용마을,20210826,AM,26.0,27.5,29.0,2.3,2.6,3.0,1,0
TL30,청용마을,20210826,PM,27.0,28.3,29.0,1.7,2.6,3.2,3,0
TL30,청용마을,20210827,AM,27.0,27.5,28.0,4.5,4.9,5.3,4,3.8
TL30,청용마을,20210827,PM,27.0,27.7,28.0,4.5,5.6,6.8,4,5.8
TL30,청용마을,20210828,AM,25.0,26.0,27.0,1.1,1.9,2.6,4,5.8
TL30,청용마을,20210828,PM,27.0,27.3,28.0,2.6,3.3,3.7,4,2.5
TL31,백사마을,20210826,AM,26.0,28.0,30.0,0.6,1.2,1.9,1,0
TL31,백사마을,20210826,PM,29.0,30.0,31.0,1.7,2.0,2.5,1,0
TL31,백사마을,20210827,AM,27.0,27.5,28.0,4.0,4.5,5.1,4,2.3
TL31,백사마을,20210827,PM,27.0,27.7,28.0,3.4,4.5,5.1,4,5.3
TL31,백사마을,20210828,AM,25.0,26.5,28.0,0.9,1.6,2.3,4,4.7
TL31,백사마을,20210828,PM,28.0,28.3,29.0,2.3,3.1,3.9,4,2
TL32,장양마을,20210826,AM,27.0,28.5,30.0,1.9,1.9,2.0,3,0
TL32,장양마을,20210826,PM,29.0,30.0,31.0,2.0,2.5,3.2,3,0
TL32,장양마을,20210827,AM,26.0,27.0,28.0,2.3,3.5,4.8,4,0
TL32,장양마을,20210827,PM,28.0,28.7,30.0,3.8,4.7,5.5,4,4.7
TL32,장양마을,20210828,AM,26.0,27.0,28.0,0.6,1.4,2.2,4,6.4
TL32,장양마을,20210828,PM,28.0,28.3,29.0,2.2,2.4,2.7,4,1
TL33,거차마을,20210826,AM,27.0,28.5,30.0,2.1,2.2,2.2,3,0
TL33,거차마을,20210826,PM,29.0,29.7,30.0,2.2,2.9,3.6,3,0
TL33,거차마을,20210827,AM,26.0,27.0,28.0,2.3,3.8,5.3,4,0
TL33,거차마을,20210827,PM,28.0,28.7,30.0,4.4,5.2,5.9,4,4.6
TL33,거차마을,20210828,AM,27.0,27.5,28.0,0.8,1.6,2.5,4,7.9
TL33,거차마을,20210828,PM,28.0,28.3,29.0,2.5,2.7,2.8,4,1
TL34,죽림마을,20210826,AM,26.0,27.0,28.0,1.8,2.9,3.9,1,0
TL34,죽림마을,20210826,PM,27.0,27.7,28.0,1.7,3.1,3.9,1,0
TL34,죽림마을,20210827,AM,26.0,27.0,28.0,6.0,6.1,6.2,4,3.6
TL34,죽림마을,20210827,PM,26.0,27.3,28.0,6.0,6.5,7.3,3,4.6
TL34,죽림마을,20210828,AM,25.0,26.0,27.0,1.1,1.9,2.8,4,6.3
TL34,죽림마을,20210828,PM,27.0,27.3,28.0,2.8,4.5,5.8,4,2.5
