OBS, STN, SST, MWHT
파고부이,신진도,23.8,0.6
파고부이,삽시도,24.6,0.5
파고부이,이작도,24.3,0.5
파고부이,풍도,-999.0,-999.0
파고부이,자월도,24.4,0.4
파고부이,서천,25.6,0.9
파고부이,천수만,26.3,0.2
파고부이,안면도,24.7,0.5
파고부이,장봉도,25.7,0.4
파고부이,장안퇴,24.4,0.4
파고부이,연평도,25.9,1.1
파고부이,진도,23.1,0.5
파고부이,군산,25.6,0.5
파고부이,영광,25.8,0.4
파고부이,맹골수도,22.0,0.9
파고부이,대치마도,26.0,0.4
파고부이,비안도,25.9,0.5
파고부이,자은,24.3,0.8
파고부이,낙월,27.1,0.3
파고부이,변산,25.7,0.4
파고부이,조도,22.8,0.4
파고부이,불무도,23.6,0.3
파고부이,위도,25.3,0.4
파고부이,위도동부,27.0,0.3
파고부이,청산도,25.9,0.5
파고부이,금오도,27.6,0.3
파고부이,노화도,24.4,0.4
파고부이,고흥,26.9,0.5
파고부이,나로도,27.2,0.6
파고부이,초도,27.1,0.7
파고부이,제주항,26.6,0.3
파고부이,중문,23.3,1.0
파고부이,추자도,26.0,0.8
파고부이,우도,26.6,0.5
파고부이,가파도,-999.0,-999.0
파고부이,협재,26.8,0.5
파고부이,김녕,26.4,0.3
파고부이,신산,26.6,-999.0
파고부이,영락,21.5,0.8
파고부이,구엄,26.3,0.5
파고부이,위미,25.2,0.9
파고부이,신창,28.5,0.8
파고부이,하도,27.0,0.4
파고부이,두미도,27.1,0.9
파고부이,장안,19.1,0.7
파고부이,해금강,22.3,0.7
파고부이,오륙도,23.2,0.5
파고부이,다대포,25.1,0.7
파고부이,한산도,24.6,1.1
파고부이,잠도,27.2,0.1
파고부이,소매물도,26.4,1.1
파고부이,남해,25.3,0.7
파고부이,연화도,26.4,0.7
파고부이,사량도,26.4,0.2
파고부이,기장,19.5,0.7
파고부이,지심도,26.4,0.7
파고부이,이수도,28.4,0.5
파고부이,후포,26.4,0.8
파고부이,간절곶,30.7,0.1
파고부이,월포,26.3,0.4
파고부이,당사,26.7,0.7
파고부이,죽변,24.3,0.8
파고부이,구룡포,26.5,0.7
파고부이,독도,23.8,0.5
파고부이,혈암,24.4,0.7
파고부이,구암,23.5,0.6
파고부이,연곡,21.7,0.7
파고부이,울릉읍,25.1,1.1
파고부이,토성,22.9,1.0
파고부이,맹방,22.8,0.6
파고부이,울릉서부,25.9,0.8
파고부이,고성,23.3,0.8
파고부이,강릉,-999.0,-999.0
파고부이,삼척,-999.0,-999.0
해양기상,울릉도,26.2,1.4
해양기상,덕적도,24.2,0.7
해양기상,거문도,27.1,1.4
해양기상,거제도,26.4,1.1
해양기상,동해,26.1,0.8
해양기상,포항,25.3,0.9
해양기상,마라도,26.9,1.4
해양기상,외연도,25.4,1.2
해양기상,신안,24.1,0.1
해양기상,추자도,27.1,1.2
해양기상,인천,26.5,1.1
해양기상,부안,27.2,0.9
해양기상,서귀포,27.9,1.3
해양기상,통영,26.8,1.2
해양기상,울산,25.8,1.4
해양기상,울진,26.9,1.0
해양기상,서해170,26.9,1.0
해양기상,서해206,27.2,0.7
해양기상,가거도,26.5,1.3
해양기상,홍도,27.1,0.8
해양기상,서해190,27.7,1.1
해양기상,칠발도,-999.0,-999.0
