생산일,코드,권역,지역,예측일자,갈라짐시작시간,갈라짐종료시간,체험시간,체험시간점수,최저기온,평균기온,최고기온,기온점수,최저풍속,평균풍속,최대풍속,풍속점수,날씨,날씨점수,강수량,강수점수,특보,특보점수,총점수,예보지수
20210828,SD19,남해서부,우도,20210828,09:00,10:12,1.20,3,25.9,28.1,29.1,5,0.8,2.4,4.6,4,4,2,0.0,5,-,5,3.05,보통
20210828,SD19,남해서부,우도,20210828,16:33,18:00,1.45,3,25.9,28.1,29.1,5,0.8,2.4,4.6,4,4,2,0.0,5,-,5,3.05,보통
20210828,SD20,황해중부,선재도,20210828,10:14,18:00,7.77,5,23.2,23.9,24.4,4,1.8,3.8,5.0,3,3,3,0.0,5,-,5,4.45,좋음
20210828,SD21,황해남부,화도,20210828,09:00,17:45,8.75,5,24.5,25.8,26.2,5,3.6,5.7,7.0,3,4,2,2.5,3,-,5,3.00,보통
20210828,SD4,황해중부,제부도,20210828,09:46,18:00,8.23,5,22.8,23.5,24.0,4,1.9,3.7,5.1,3,3,3,0.0,5,-,5,4.45,좋음
20210828,SD5,제주도,서건도,20210828,09:00,10:01,1.02,3,26.2,28.4,29.2,5,3.8,6.2,7.3,3,3,3,1.6,3,-,5,3.00,보통
20210828,SD5,제주도,서건도,20210828,16:56,18:00,1.07,3,26.2,28.4,29.2,5,3.8,6.2,7.3,3,3,3,0.0,5,-,5,3.10,보통
20210828,SD6,황해중부,실미도,20210828,11:34,16:58,5.40,5,23.7,23.9,24.0,4,1.4,4.0,6.2,3,3,3,0.0,5,-,5,4.45,좋음
20210828,SD8,황해중부,웅도,20210828,09:27,18:00,8.55,5,23.5,23.9,24.0,4,0.5,3.2,4.8,4,4,2,7.2,2,-,5,2.00,나쁨
20210828,SD9,황해중부,소야도,20210828,11:39,16:40,5.02,5,23.8,23.9,23.9,4,0.8,3.1,4.9,4,3,3,1.2,3,-,5,3.00,보통
20210828,SD19,남해서부,우도,20210829,09:00,10:50,1.83,3,25.8,27.7,28.8,5,3.1,4.9,6.6,3,4,2,0.0,5,-,5,2.95,나쁨
20210828,SD19,남해서부,우도,20210829,17:35,18:00,0.42,1,25.8,27.7,28.8,5,3.1,4.9,6.6,3,4,2,6.8,2,-,5,1.00,매우나쁨
20210828,SD20,황해중부,선재도,20210829,10:32,18:00,7.47,5,20.8,21.8,23.1,4,2.4,6.5,9.5,2,4,2,4.3,3,-,5,3.00,보통
20210828,SD21,황해남부,화도,20210829,09:00,18:00,9.00,5,25.2,25.7,25.9,5,5.1,7.0,8.1,3,4,2,18.8,1,-,5,1.00,매우나쁨
20210828,SD4,황해중부,제부도,20210829,09:57,18:00,8.05,5,20.8,21.9,23.3,4,2.4,6.1,9.3,2,4,2,2.5,3,-,5,3.00,보통
20210828,SD5,제주도,서건도,20210829,09:00,10:45,1.75,3,26.1,27.6,28.2,5,3.1,4.5,5.5,3,4,2,0.0,5,-,5,2.95,나쁨
20210828,SD6,황해중부,실미도,20210829,12:02,17:28,5.43,5,20.6,21.7,23.2,4,3.6,6.4,9.0,2,4,2,0.0,5,-,5,4.20,좋음
20210828,SD8,황해중부,웅도,20210829,09:33,18:00,8.45,5,21.2,22.4,23.5,4,5.5,7.8,10.1,2,4,2,1.9,3,-,5,3.00,보통
20210828,SD9,황해중부,소야도,20210829,12:10,17:09,4.98,5,21.2,22.0,23.2,4,4.1,7.0,9.1,2,4,2,4.5,3,-,5,3.00,보통
20210828,SD19,남해서부,우도,20210830,09:00,11:41,2.68,4,26.4,27.8,28.7,5,3.5,5.2,6.8,3,4,2,1.0,3,-,5,3.00,보통
20210828,SD20,황해중부,선재도,20210830,10:47,18:00,7.22,5,22.6,23.6,24.3,4,2.2,3.4,4.5,4,4,2,0.0,5,-,5,4.40,좋음
20210828,SD21,황해남부,화도,20210830,09:00,18:00,9.00,5,24.6,25.0,25.3,5,1.1,2.6,3.4,4,4,2,5.0,3,-,5,3.00,보통
20210828,SD4,황해중부,제부도,20210830,09:56,18:00,8.07,5,22.7,23.4,24.2,4,2.2,3.2,4.2,4,4,2,1.6,3,-,5,3.00,보통
20210828,SD5,제주도,서건도,20210830,09:00,11:40,2.67,4,23.7,27.1,27.8,5,1.6,4.3,5.1,3,3,3,0.0,5,-,5,3.80,보통
20210828,SD6,황해중부,실미도,20210830,12:36,18:00,5.40,5,22.5,23.3,23.8,4,2.9,4.2,5.2,3,4,2,0.0,5,-,5,4.30,좋음
20210828,SD8,황해중부,웅도,20210830,09:00,18:00,9.00,5,23.0,23.3,23.8,4,2.9,3.6,4.3,4,4,2,0.0,5,-,5,4.40,좋음
20210828,SD9,황해중부,소야도,20210830,12:51,17:42,4.85,5,22.7,23.1,23.6,4,3.2,4.3,5.2,3,4,2,0.0,5,-,5,4.30,좋음
