STN,NAME,DATE,AM/PM,TEMP_MIN,TEMP_AVE,TEMP_MAX,WIND_MIN,WIND_AVE,WIND_MAX,SKY,RAIN_AMT
SK9,묵호-울릉,20210710,PM,27.0,27.0,27.0,5.5,5.9,6.4,4,0.5
SK9,묵호-울릉,20210711,AM,26.0,26.5,27.0,6.5,7.3,8.1,3,0
SK9,묵호-울릉,20210711,PM,27.0,27.0,27.0,6.2,6.3,6.5,3,0
SK9,묵호-울릉,20210709,AM,25.0,25.5,26.0,2.8,5.8,8.7,4,1.1
SK9,묵호-울릉,20210709,PM,25.0,25.3,26.0,6.0,7.3,8.7,4,1.2
SK9,묵호-울릉,20210710,AM,26.0,26.5,27.0,6.4,6.8,7.1,4,1
SK9,묵호-울릉,20210710,PM,27.0,27.0,27.0,5.5,5.9,6.4,4,0.5
SK9,묵호-울릉,20210711,AM,26.0,26.5,27.0,6.5,7.3,8.1,3,0
SK9,묵호-울릉,20210711,PM,27.0,27.0,27.0,6.2,6.3,6.5,3,0
SK9,묵호-울릉,20210709,AM,25.0,25.5,26.0,2.8,5.8,8.7,4,1.1
SK9,묵호-울릉,20210709,PM,25.0,25.3,26.0,6.0,7.3,8.7,4,1.2
SK9,묵호-울릉,20210710,AM,26.0,26.5,27.0,6.4,6.8,7.1,4,1
SK9,묵호-울릉,20210710,PM,27.0,27.0,27.0,5.5,5.9,6.4,4,0.5
SK9,묵호-울릉,20210711,AM,26.0,26.5,27.0,6.5,7.3,8.1,3,0
SK9,묵호-울릉,20210711,PM,27.0,27.0,27.0,6.2,6.3,6.5,3,0
SK9,묵호-울릉,20210709,AM,25.0,25.5,26.0,2.8,5.8,8.7,4,1.1
SK9,묵호-울릉,20210709,PM,25.0,25.3,26.0,6.0,7.3,8.7,4,1.2
SK9,묵호-울릉,20210710,AM,26.0,26.5,27.0,6.4,6.8,7.1,4,1
SK9,묵호-울릉,20210710,PM,27.0,27.0,27.0,5.5,5.9,6.4,4,0.5
SK9,묵호-울릉,20210711,AM,26.0,26.5,27.0,6.5,7.3,8.1,3,0
SK9,묵호-울릉,20210711,PM,27.0,27.0,27.0,6.2,6.3,6.5,3,0
